지역,단지,세대수,주소,위도,경도
화성시,화성상리 1블록 행복주택,450,경기도 화성시 봉담읍 삼천병마로 1256-13,37.175637014290025,127.14223051190301
화성시,화성비봉 A-2블록 행복주택,440,경기도 화성시 비봉면 새비봉동로 17,37.242606092903806,126.87656107823916
화성시,"화성발안(1단지)(행복,임대상가)",608,경기도 화성시 향남읍 발안공단로 92-12,37.08763174370523,126.90978459532475
화성시,화성동탄2 A4-1블럭(2단지)(행복),1640,경기도 화성시 동탄영천로 108-21,37.2134655990505,127.10543898461057
화성시,디루체,390,경기도 화성시 동탄신리천로2길 65,37.175309940291285,127.12883004938676
화성시,"화성향남2(20단지)(행복,임대상가)",99,경기도 화성시 향남읍 벌말길 24,37.11226569591422,126.90255471514759
화성시,화성동탄2 C26블럭(26단지)(행복),608,경기도 화성시 동탄기흥로277번길 12,37.1856618228619,127.0913679701192
화성시,남양뉴타운 B-10블록 행복·국민·영구임대주택,696,경기도 화성시 남양읍 남양중앙로 419,37.20393186396642,126.84143902546376
화성시,화성동탄2 지원6-2블록 지역전략산업지원주택,280,경기도 화성시 동탄첨단산업1로 57,37.21461712823483,127.09135217790532
화성시,화성동탄2 A82블럭(28단지)(행복),820,경기도 화성시 동탄순환대로2길 13,37.16353397204463,127.0944712291585
화성시,화성동탄2 A77-1블럭(35단지)(행복),900,경기도 화성시 동탄순환대로10길 42,37.16632494144365,127.12169908003153
화성시,병점복합타운A1행복주택,862,경기도 화성시 병점노을1로 14,37.20236685235027,127.03147837754166
