철도운영기관명,선명,역명,지번주소,도로명주소,x,y,lng,lat
서울교통공사,3호선,종로3가,서울특별시 종로구 묘동 20-5 종로3가역(3호선),서울특별시 종로구 돈화문로 30(묘동),955161.01386397,1952554.1969808,126.99223342471753,37.57126815289473
서울교통공사,3호선,지축,경기도 고양시 덕양구 지축동 818-64 지축역(3호선),경기도 고양시 덕양구 삼송로 300(지축동),948029.74746629,1961202.14628369,126.91086650803352,37.64883735230155
서울교통공사,3호선,충무로,서울특별시 중구 필동2가 16-2 충무로역(3호선),서울특별시 중구 퇴계로 214(필동2가),955340.691147396,1951448.29884123,126.99433544172828,37.56130919092758
서울교통공사,3호선,학여울,서울특별시 강남구 대치동 514-3 학여울역(3호선),서울특별시 강남구 남부순환로 3104(대치동),962176.078433776,1944134.5606149,127.0721051465501,37.49569386477621
서울교통공사,3호선,홍제,서울특별시 서대문구 홍제동 161-1 홍제역(3호선),서울특별시 서대문구 통일로 440-1(홍제동),950934.150814788,1954513.70972554,126.94423820253195,37.58871389935016
코레일,4호선,경마공원,경기도 과천시 과천동 654,경기도 과천시 경마공원대로 105,956484.100275131,1938442.72191855,127.00805123849422,37.44414038738482
코레일,4호선,고잔,경기도 안산시 단원구 고잔동 453-67,경기도 안산시 단원구 중앙대로 784,940026.184624752,1924417.61808282,126.82314131147476,37.31680823978468
코레일,4호선,과천,경기도 과천시 별양동 2,경기도 과천시 별양로  177,955531.10944698,1937256.48118374,126.99734953896647,37.433402977703885
코레일,4호선,금정,경기도 군포시 금정동 613 금정역,경기도 군포시 군포로 750(금정동),950716.653443351,1930504.44293082,126.94338232493723,37.37230029880159
코레일,4호선,대공원,경기도 과천시 과천동 727-1,경기도 과천시 대공원대로 50,956259.229185334,1937511.34182009,127.00556438702705,37.43573485717118
코레일,4호선,대야미,군포시 대야1로28번,군포시 대야1로 28번,948367.16392046,1925641.2556371,126.91718682197723,37.32833845455511
코레일,4호선,반월,경기도 안산시 상록구 건건동 산62-1,경기도 안산시 상록구 건건로 119-10,947184.34122892,1923855.17889224,126.90396334004879,37.31217322114883
코레일,4호선,범계,경기도 안양시 동안구 호계동 1039-2,경기도 안양시 동안구 동안로  130,951399.290357804,1932438.17272783,126.95096480467778,37.38976587656528
코레일,4호선,산본,경기도 군포시 산본동 1231번지,경기도 군포시 번영로 504 (산본동),949802.807756378,1928934.49884068,126.93316805329762,37.35810069373485
코레일,4호선,상록수,경기도 안산시 상록구 본오동 1177,경기도 안산시 상록수 상록수로 61,943857.395165005,1922839.8180909,126.8664968224446,37.302826305644246
코레일,4호선,선바위,경기도 과천시 과천동 355,경기도 과천시 중앙로 440,955897.09549636,1939303.59473326,127.00136385814382,37.451871974959836
코레일,4호선,수리산,경기도 군포시 산본동 1231-1,경기도 군포시 번영로 385,949117.53264354,1928054.46461574,126.92549066506803,37.35013122875696
코레일,4호선,신길온천,경기도 안산시 단원구 신길동 216-2,경기도 안산시 단원구 황고개로 2,935093.757285848,1926765.65723666,126.76727292405762,37.33764007807224
코레일,4호선,안산,경기도 안산시 단원구 원곡동 377-2,경기도 안산시 단원구 중앙대로 462,937046.198493087,1925604.9031082,126.78941102831875,37.32731238609168
코레일,4호선,오이도,경기도 시흥시 정왕동 878,경기도 시흥시 역전로 430  ,932565.034976559,1929484.44416983,126.73848093925007,37.36196453791481
코레일,4호선,인덕원,경기도 안양시 동안구 관양2동 1566,경기도 안양시 동안구 흥안대로 529,953683.316566158,1933732.16049474,126.97668502598393,37.40154614978176
코레일,4호선,정부과천청사,경기도 과천시 별양동 1,경기도 과천시 중앙로  100(별양동),954893.190878733,1936438.79543754,126.99018912189148,37.42600195382822
코레일,4호선,정왕,경기도 시흥시 정왕동 2324-2,경기도 시흥시 마유로 418번길 15,932949.423873642,1928353.69217673,126.7429237354813,37.35180082685525
코레일,4호선,중앙,경기도 안산시 단원구 고잔동 167-378 중앙역,경기도 안산시 단원구 중앙대로 918,941386.22506043,1924319.62839654,126.83849739126086,37.31601182344432
코레일,4호선,초지,경기도 안산시 단원구 초지동 25-1,경기도 안산시 단원구 중앙대로 620,938500.48741909,1924860.36205158,126.80588688224367,37.32069907565284
코레일,4호선,평촌,경기도 안양시 동안구 관양동 1608-1,경기도 안양시 동안구 부림로  123,952550.799397188,1932956.60632699,126.96393943417888,37.394498424682844
코레일,4호선,한대앞,경기도 안산시 상록구 이동 211-5,경기도 안산시 상록구 충장로 337,942700.770012468,1923685.84675798,126.85338112455574,37.31038131144777
서울교통공사,4호선,길음,서울특별시 성북구 길음동 877-66 길음역(4호선),서울특별시 성북구 동소문로 248(길음동),957880.996403291,1956012.61440972,127.02283515244511,37.60256809287778
서울교통공사,4호선,남태령,서울특별시 서초구 방배동 2909 남태령역(4호선),서울특별시 서초구 과천대로 816(방배동),954769.389886743,1940781.29667272,126.98852354833531,37.46513656864359
서울교통공사,4호선,노원,서울특별시 노원구 상계동 602-5 노원역(4호선),서울특별시 노원구 상계로 69-1(상계동),961456.602282036,1961953.04565943,127.06302857706257,37.65626724497084
서울교통공사,4호선,당고개,서울특별시 노원구 상계동 111 당고개역(4호선),서울특별시 노원구 상계로 305(상계동),962859.862977674,1963487.88624007,127.07885897226225,37.67015888621228
서울교통공사,4호선,동대문,서울특별시 종로구 종로6가 287-1 동대문역(4호선),서울특별시 종로구 율곡로 308(종로6가),956691.452066343,1952441.28416228,127.00957052606368,37.57032371351363
서울교통공사,4호선,동대문역사문화공원,서울특별시 중구 광희동2가 9 동대문역사문화공원역(4호선),서울특별시 중구 장충단로 230(광희동2가),956509.342410929,1951856.24659319,127.00754308844343,37.565042050925314
서울교통공사,4호선,동작(현충원),서울특별시 동작구 동작동 327-1 동작역(4호선),서울특별시 동작구 현충로 257(동작동),954076.264702569,1944940.35665296,126.98042631271419,37.50258932264758
서울교통공사,4호선,명동,서울특별시 중구 충무로2가 109-2 명동역(4호선),서울특별시 중구 퇴계로 126(충무로2가),954599.332562497,1951407.93272489,126.98594405767112,37.560909113240236
서울교통공사,4호선,미아,서울특별시 강북구 미아동 194-1 미아역(4호선),서울특별시 강북구 도봉로 198(미아동),958181.70611517,1958663.88257403,127.02609014443384,37.62647818063974
서울교통공사,4호선,미아사거리,서울특별시 강북구 미아동 66-1 미아사거리역(4호선),서울특별시 강북구 도봉로 50(미아동),958527.103187752,1957191.61292971,127.0300877976239,37.61322400620716
서울교통공사,4호선,사당,서울특별시 동작구 사당동 588-44 사당역(4호선),서울특별시 동작구  동작대로 3(사당동),954163.806185441,1942085.93086082,126.98159454056405,37.476865843365516
서울교통공사,4호선,삼각지,서울특별시 용산구 한강로1가 228-1 삼각지역(4호선),서울특별시 용산구 한강대로 180(한강로1가),953471.351859628,1948473.2204069,126.97335894447562,37.534401631504146
