철도운영기관명,선명,역명,지번주소,도로명주소,환승,x,y,lng,lat
서울교통공사,2호선,왕십리,서울특별시 성동구 행당동 192 왕십리역(2호선),서울특별시 성동구 왕십리로 300(행당동),y,959078.241949868,1951419.29343538,127.03665495190563,37.561221420472805
서울교통공사,2호선,을지로3가,서울특별시 중구 을지로3가 347-3 을지로3가역(2호선),서울특별시 중구 을지로 106(을지로3가),y,954988.022703685,1952000.14293258,126.9903085358901,37.56626590883543
서울교통공사,2호선,을지로4가,서울특별시 중구 을지로4가 267-1 을지로4가역(2호선),서울특별시 중구 을지로 178(을지로4가),y,955653.937037091,1952037.67558899,126.99784645402319,37.56663651136963
서울교통공사,2호선,잠실(송파구청),서울특별시 송파구 신천동 8 잠실역(2호선),서울특별시 송파구 올림픽로 265(신천동),y,964854.053233329,1946152.31732612,127.10230341118441,37.51398664229377
서울교통공사,2호선,종합운동장,서울특별시 송파구 잠실동 122 종합운동장역(2호선),서울특별시 송파구 올림픽로 23(잠실동),y,962294.390802346,1945828.90819384,127.07335666338908,37.510970556321354
서울교통공사,2호선,충정로(경기대입구),서울특별시 서대문구 충정로3가 319-1 충정로역(2호선),서울특별시 서대문구 서소문로 17(충정로3가),y,952703.061490394,1951300.11134713,126.9644810386227,37.559841865869444
서울교통공사,2호선,합정,서울특별시 마포구 서교동 393 합정역(2호선),서울특별시 마포구 양화로 55(서교동),y,948293.090012673,1950246.14463356,126.9146257934551,37.55010531707032
서울교통공사,2호선,홍대입구,서울특별시 마포구 동교동 165 홍대입구역(2호선),서울특별시 마포구 양화로 160(동교동),y,949096.978418055,1950993.98207152,126.92367428857129,37.55689043755074
서울교통공사,3호선,가락시장,서울특별시 송파구 가락동 184-23 가락시장역(3호선),서울특별시 송파구 송파대로 257(가락동),y,966274.643182304,1943789.80882922,127.11848624140217,37.49274529285958
서울교통공사,3호선,고속터미널,서울특별시 서초구 반포동 19-11 고속터미널역(3호선),서울특별시 서초구 신반포로 188(반포동),y,956245.070718808,1945188.38198946,127.00494821168384,37.50493022997351
서울교통공사,3호선,교대(법원·검찰청),서울특별시 서초구 서초동 1748-4 교대역(3호선),서울특별시 서초구 서초대로 294(서초동),y,957023.889636057,1943840.53226575,127.01383839646901,37.49281819747957
코레일,3호선,대곡,경기도 고양시 대장동 426-2,경기도 교양시 대주로 107번길 71-81,y,939104.353296917,1959396.89922815,126.80984523732582,37.6320183890257
서울교통공사,3호선,도곡,서울특별시 강남구 도곡동 339-2 도곡역(3호선),서울특별시 강남구 남부순환로 2814(도곡동),y,960689.401529861,1943605.23814703,127.05531539527423,37.490860753730836
서울교통공사,3호선,불광,서울특별시 은평구 대조동 13-10 불광역(3호선),서울특별시 은평구 통일로 723-1(대조동),y,949690.25973613,1956905.98324957,126.92998498125326,37.61020844378952
