zone_name,lng,lat,region1,region2,region3
성복역 5번출구(푸른마을푸르지오),127.078812,37.31611,경기도,용인시　수지구,성복동
항동하버라인 2단지,126.822332,37.481341,서울특별시,구로구,항동
코오롱싸이언스밸리2차,126.899259,37.484297,서울특별시,구로구,구로동
경주 중앙시장 앞,129.205105,35.843982,경상북도,경주시,성건동
경주시 충효동,129.181826,35.843938,경상북도,경주시,충효동
에이스한솔타워,126.886407,37.471214,서울특별시,금천구,가산동
서울신미림초등학교 옆,126.879155,37.508952,서울특별시,구로구,신도림동
센텀 제니스스퀘어,129.143897,35.156685,부산광역시,해운대구,우동
원당역 환승주차장,126.842768,37.652565,경기도,고양시　덕양구,성사동
태릉시장 뒤,127.076541,37.598975,서울특별시,중랑구,중화동
석촌역,127.10849,37.505314,서울특별시,송파구,송파동
반월당역 3번출구,128.594498,35.864319,대구광역시,중구,남산동
동대구역(KTX) 2번출구,128.625717,35.877155,대구광역시,동구,신천동
울산시외버스터미널,129.339783,35.536034,울산광역시,남구,삼산동
월곡1동 주민센터 옆,127.03791,37.61203,서울특별시,성북구,하월곡동
상일동역교차로 뒤,127.172798,37.556355,서울특별시,강동구,강일동
선암초교네거리 옆,127.336834,36.295744,대전광역시,서구,관저동
계룡시안전센터 뒤,127.238387,36.288148,충청남도,계룡시,엄사면
김천 구미역(KTX) 앞,128.181721,36.114445,경상북도,김천시,율곡동
망우역 1번출구(듀오트리스),127.092241,37.59744,서울특별시,중랑구,상봉동
세교 디오네프라자,127.090594,37.009085,경기도,평택시,세교동
광교역 1번출구,127.046182,37.300616,경기도,수원시　영통구,이의동
신한헤센스마트,126.918135,37.633315,서울특별시,은평구,진관동
논현역 1번출구,127.023392,37.510719,서울특별시,강남구,논현동
공덕역 7번출구,126.952529,37.542918,서울특별시,마포구,신공덕동
천마산역 3번출구,127.28462,37.65883,경기도,남양주시,화도읍
의정부역 7번출구,127.047485,37.73285,경기도,의정부시,의정부동
마장역 1번출구(거주자),127.039655,37.565085,서울특별시,성동구,마장동
양양 하조대,128.725524,38.020944,강원도,양양군,현북면
주만사 신안약수아파트 ,126.847133,37.51699,서울특별시,양천구,신월동
주만사 더리움,126.881152,37.545885,서울특별시,양천구,목동
주만사 한솔그린빌,126.832691,37.530601,서울특별시,양천구,신월동
반월동 동경빌딩,127.071549,35.874315,전라북도,전주시　덕진구,반월동
죽림2공원 앞,127.637745,34.764169,전라남도,여수시,소라면
매안초등학교 옆,127.551792,34.928244,전라남도,순천시,해룡면
국회의사당역 4번출구,126.917684,37.526712,서울특별시,영등포구,여의도동
사직역 3번출구,129.063359,35.197451,부산광역시,동래구,사직동
수원KT위즈파크(정기권),127.008087,37.298846,경기도,수원시　장안구,조원동
경수중학교 앞,127.055977,37.539162,서울특별시,성동구,성수동2가
창원 가음정시장,128.697784,35.208389,경상남도,창원시　성산구,가음동
강원대학교 사범대 1호관,127.741834,37.870504,강원도,춘천시,효자동
남양무지개아파트 옆,127.113434,35.812842,전라북도,전주시　완산구,효자동
굽은다리역 1번출구,127.142163,37.545315,서울특별시,강동구,천호동
일산2동 주민센터 앞,126.779547,37.683109,경기도,고양시　일산동구,중산동
화명 스페이스303,129.011989,35.235829,부산광역시,북구,화명동
영등포구민회관,126.90014,37.526186,서울특별시,영등포구,당산동3가
목동 롯데캐슬위너아파트 101동,126.867647,37.547471,서울특별시,양천구,목동
정읍역 앞(KTX),126.844604,35.573902,전라북도,정읍시,연지동
순천북부정류소 앞,127.483788,34.959499,전라남도,순천시,매곡동
경안시장길,127.258995,37.409561,경기도,광주시,경안동
SK연희기지국,126.929288,37.565243,서울특별시,서대문구,연희동
역삼역 6번출구,127.033799,37.503841,서울특별시,강남구,역삼동
롯데캐슬시티,127.431169,36.643535,충청북도,청주시　흥덕구,복대동
농협세종중앙지점,127.251115,36.484692,세종특별자치시,세종시,새롬동
김량장역 2번출구,127.201289,37.236314,경기도,용인시　처인구,김량장동
두정역1번출구 앞,127.150403,36.831957,충청남도,천안시　서북구,두정동
횡계로타리,128.708058,37.671347,강원도,평창군,대관령면
군산 예스트쇼핑몰,126.705025,35.964516,전라북도,군산시,나운동
군산고속버스터미널 옆,126.72506,35.978656,전라북도,군산시,경암동
관저동 마치광장,127.337845,36.298466,대전광역시,서구,관저동
노블스테이호텔 쏘카존,126.849313,35.216764,광주광역시,광산구,쌍암동
장전역 1번출구,129.087662,35.237593,부산광역시,금정구,장전동
장전동 새마을금고본점 옆,129.087391,35.233874,부산광역시,금정구,장전동
하남 퀸즈파크미사 2차,127.195644,37.56256,경기도,하남시,망월동
미사 푸르지오시티 B동,127.191298,37.564943,경기도,하남시,망월동
석수역 sk주유소,126.902878,37.433782,경기도,안양시　만안구,석수동
돌곶이역 8번출구,127.055634,37.609402,서울특별시,성북구,석관동
신대방삼거리역 1번출구,126.931961,37.499748,서울특별시,동작구,상도3동
개화역,126.798027,37.577858,서울특별시,강서구,개화동
상봉터미널,127.092499,37.595772,서울특별시,중랑구,상봉동
주엽역 8번출구,126.762917,37.670212,경기도,고양시　일산서구,주엽동
청담역,127.048837,37.515993,서울특별시,강남구,삼성동
관악구청 앞,126.951123,37.479031,서울특별시,관악구,봉천동
신도림역 푸르지오1차,126.88803,37.509419,서울특별시,구로구,신도림동
발산역 9번출구,126.836553,37.559187,서울특별시,강서구,마곡동
인천항연안여객터미널,126.601897,37.45416,인천광역시,중구,항동7가
남양주 송라초등학교 옆,127.301761,37.653241,경기도,남양주시,화도읍
안중버스터미널 앞,126.923402,36.977019,경기도,평택시,안중읍
강릉역(KTX) C구역 옆,128.903642,37.766975,강원도,강릉시,포남동
성정동 클럽뉴욕,127.142006,36.826801,충청남도,천안시　서북구,성정동
구리 중앙예식장앞교차로,127.136314,37.600048,경기도,구리시,수택동
상암월드컵파크1단지,126.893944,37.575806,서울특별시,마포구,상암동
마포문화원 옆,126.955658,37.542351,서울특별시,마포구,신공덕동
순천역 교차로(KTX),127.501633,34.943939,전라남도,순천시,풍덕동
HN호평주택,127.245903,37.657288,경기도,남양주시,호평동
HN복정주택,127.127605,37.467201,경기도,성남시　수정구,복정동
평택대학교 앞,127.136162,36.994137,경기도,평택시,용이동
에코그라드호텔 앞,127.520325,34.954258,전라남도,순천시,조례동
충무로역 5번출구,126.990822,37.561508,서울특별시,중구,충무로3가
박촌역 1번출구,126.747321,37.555692,인천광역시,계양구,박촌동
전자랜드 죽전점,128.536573,35.849311,대구광역시,달서구,감삼동
천안아산역(KTX) 2번출구,127.10772,36.795366,충청남도,아산시,배방읍
당산중학교 앞,126.906142,37.530634,서울특별시,영등포구,영등포동8가
은평여성인력개발센터 옆,126.929954,37.606059,서울특별시,은평구,녹번동
큰마을아파트,127.375647,36.344286,대전광역시,서구,갈마동
일산복음병원 뒤,126.779579,37.67996,경기도,고양시　일산동구,중산동
방화동성아파트,126.81218,37.57954,서울특별시,강서구,방화동
노원 세양청마루아파트,127.060745,37.620708,서울특별시,노원구,월계동
상남시장,128.682495,35.221668,경상남도,창원시　성산구,상남동
양산역 4번출구,129.0289,35.3367,경상남도,양산시,중부동
홍제역,126.944099,37.58844,서울특별시,서대문구,홍제동
목동역 8번출구,126.863014,37.525589,서울특별시,양천구,신정동
디지털미디어시티역 9번출구,126.896049,37.57645,서울특별시,마포구,상암동
세일중학교 앞,126.894852,37.47393,서울특별시,금천구,독산동
성산동성아파트,126.905754,37.564831,서울특별시,마포구,성산동
영등포본동 주민센터 옆,126.909386,37.51445,서울특별시,영등포구,영등포동
서울도림초등학교,126.906563,37.508209,서울특별시,영등포구,신길동
회기역(삼육서울병원),127.063044,37.589523,서울특별시,동대문구,휘경동
사가정역 1번출구,127.087799,37.58357,서울특별시,중랑구,면목동
상봉시장 앞,127.084122,37.592957,서울특별시,중랑구,상봉동
중화역,127.078423,37.601208,서울특별시,중랑구,중화동
왕십리역 10번출구,127.033657,37.560179,서울특별시,성동구,행당동
GS수퍼마켓 천안두정점,127.139614,36.833933,충청남도,천안시　서북구,두정동
청대 사거리,127.488152,36.650196,충청북도,청주시　청원구,우암동
마석중학교 앞,127.305695,37.647758,경기도,남양주시,화도읍
GS수퍼마켓 청주주성점,127.496994,36.670975,충청북도,청주시　청원구,주성동
공항시장역 1번출구,126.809723,37.563545,서울특별시,강서구,방화2동
방죽안 오거리,127.15284,36.818138,충청남도,천안시　동남구,신부동
부경대 대연캠퍼스 옆,129.101608,35.135536,부산광역시,남구,대연동
서대전우체국 옆,127.414848,36.320015,대전광역시,중구,문화동
서울강남초등학교 옆,126.953405,37.507276,서울특별시,동작구,상도동
개봉프라자 옆,126.851854,37.501988,서울특별시,구로구,고척동
은행어린이공원 옆,126.907651,37.453197,서울특별시,금천구,시흥동
첨단2동행정복지센터 옆,126.844191,35.216346,광주광역시,광산구,월계동
이젠지식산업센터 앞,126.623019,37.617659,경기도,김포시,양촌읍
메가박스 인천논현,126.727414,37.397406,인천광역시,남동구,논현동
포천 송우메가프라자,127.147489,37.831017,경기도,포천시,소흘읍
면목본동 주민센터 앞,127.087219,37.587326,서울특별시,중랑구,면목동
명지전문대학 앞,126.923347,37.584118,서울특별시,서대문구,홍은동
부천역 2번출구,126.777885,37.48251,경기도,부천시,심곡본동
홈플러스 강서점,126.855016,37.558408,서울특별시,강서구,등촌동
은평뉴타운 롯데캐슬 1단지 816동 앞,126.922882,37.644845,서울특별시,은평구,진관동
경복궁역 3번출구,126.972506,37.577972,서울특별시,종로구,통의동
파인스타3 주차빌딩,126.704527,37.632688,경기도,김포시,걸포동
파주야당 센트럴파크리움,126.759469,37.711057,경기도,파주시,야당동
파인스타1 상가동,126.704275,37.632106,경기도,김포시,걸포동
홈플러스 성서점,128.527049,35.849565,대구광역시,달서구,용산동
홈플러스 상인점,128.5333,35.817841,대구광역시,달서구,상인동
홈플러스 내당점,128.563814,35.860341,대구광역시,서구,내당동
홈플러스 대구칠곡점,128.555911,35.944828,대구광역시,북구,동천동
홈플러스 대구수성점,128.623094,35.838719,대구광역시,수성구,두산동
홈플러스 영등포점,126.895924,37.518227,서울특별시,영등포구,문래동3가
홈플러스 남현점,126.982399,37.471593,서울특별시,관악구,남현동
홈플러스 가양점,126.850105,37.564269,서울특별시,강서구,가양동
홈플러스 경기하남점,127.212395,37.538425,경기도,하남시,신장동
양천 예술인센터,126.870619,37.52709,서울특별시,양천구,목동
메가박스 공주점,127.138862,36.473646,충청남도,공주시,신관동
탄현역 1번출구,126.757322,37.695071,경기도,고양시　일산서구,덕이동
신매역 1번출구 앞,128.704047,35.841356,대구광역시,수성구,매호동
노보텔엠베서더 대구점 옆,128.597239,35.871014,대구광역시,중구,문화동
포항 오거리,129.366547,36.032131,경상북도,포항시　북구,죽도동
서울숲역 1번출구(크레비스),127.045639,37.545349,서울특별시,성동구,성수동
중동역 1번출구(부천스포츠센터),126.761964,37.486501,경기도,부천시,송내동
수유1동 주민센터 앞,127.017432,37.63067,서울특별시,강북구,수유동
제주신화월드 메리어트관,126.319492,33.308388,제주특별자치도,서귀포시,안덕면
범일역 9번출구,129.058975,35.142151,부산광역시,부산진구,범천동
회룡역 3번출구,127.046623,37.724556,경기도,의정부시,호원동
구미 옥계중학교 앞,128.412097,36.137597,경상북도,구미시,거의동
문화체육관광부 앞,127.266411,36.497517,세종특별자치시,세종시,어진동
고양동사거리,126.902969,37.708923,경기도,고양시　덕양구,고양동
전남대 치과병원 앞,126.899185,35.17078,광주광역시,북구,신안동
서강해모로아파트,126.929848,37.546524,서울특별시,마포구,창전동
보라매제1공영주차장,126.934349,37.488651,서울특별시,관악구,봉천동
연신내메트하임오피스텔,126.92107,37.617598,서울특별시,은평구,대조동
서울숲더샵 상가,127.040267,37.555854,서울특별시,성동구,행당동
오산대역 2번출구,127.062839,37.168691,경기도,오산시,수청동
가양역 6번출구,126.855553,37.560555,서울특별시,강서구,등촌동
마두역 8번출구,126.779686,37.650045,경기도,고양시　일산동구,마두동
더아트스테이 서귀포하버 ,126.566795,33.245518,제주특별자치도,서귀포시,서귀동
마천역 1번출구,127.150131,37.495827,서울특별시,송파구,마천동
골드리버호텔,126.877052,37.478359,서울특별시,금천구,가산동
운남동 행정복지센터 앞,126.533941,37.492899,인천광역시,중구,운남동
스타벅스 드림마크원점,126.89164,37.48589,서울특별시,구로구,구로동
야당역 3번출구,126.763682,37.712298,경기도,파주시,야당동
모당초등학교 앞,126.78217,37.677556,경기도,고양시　일산동구,중산동
불광초등학교 옆,126.932999,37.615307,서울특별시,은평구,불광동
상암동주민센터 옆 파크엠,126.894291,37.578757,서울특별시,마포구,상암동
부곡중앙초등학교 옆,126.942811,37.324394,경기도,군포시,부곡동
마두역 1번출구,126.777616,37.651225,경기도,고양시　일산동구,장항동
군자2교사거리 옆,126.733309,37.345531,경기도,시흥시,정왕동
전주 웨딩의거리,127.143357,35.816958,전라북도,전주시　완산구,중앙동
한밭대학교 국제교류관 뒤,127.298378,36.349947,대전광역시,유성구,덕명동
아산한도아파트,127.058697,36.771987,충청남도,아산시,배방읍
누리마트 칠금점,127.92241,36.986172,충청북도,충주시,칠금동
보문동 도전숙,127.020008,37.580134,서울특별시,성북구,보문동6가
남부터미널역 1번출구(거주자주차면 69-12구획),127.016317,37.4877,서울특별시,서초구,서초동
인천시청역 5번출구,126.702346,37.453675,인천광역시,남동구,구월3동
기흥역 4번출구(AK플라자),127.117103,37.274325,경기도,용인시　기흥구,구갈동
광주공항,126.810036,35.143669,광주광역시,광산구,신촌동
화전역(한국항공대),126.868019,37.60371,경기도,고양시　덕양구,화전동
더파티 서면점,129.050629,35.164516,부산광역시,부산진구,부암동
익산역 앞 중앙시장(KTX)),126.949738,35.94199,전라북도,익산시,창인동1가
칠곡군 석적읍,128.411713,36.075523,경상북도,칠곡군,석적읍
대구 테크노폴리스,128.460388,35.694546,대구광역시,달성군,유가면
기흥 힉스유타워,127.090378,37.268829,경기도,용인시　기흥구,영덕동
녹천역두산위브아파트,127.053025,37.639912,서울특별시,노원구,월계동
김해공항(도보) C,128.950432,35.175942,부산광역시,강서구,대저2동
동울산 청년회의소 앞,129.428881,35.494534,울산광역시,동구,일산동
