지역,단지,세대수,주소,위도,경도,x,y,lng,lat
부천시,부천옥길 행복주택(A4BL),270,경기도 부천시 양지로 151,37.47088921212735,126.81957058305898,939857.57248352,1941474.66008366,126.81985075087874,37.470535765195415
성남시 수정구,성남고등 A-1 행복주택리츠,1040,경기도 성남시 수정구 고등로 57,37.43052951094316,127.09957651857708,964520.853411019,1936976.33148852,127.09897527975279,37.43126625873158
성남시 수정구,판교제2테크노밸리 A1블록 창업지원주택,200,경기도 성남시 수정구 창업로40번길 6,37.41263375580655,127.09599464426005,964260.103957945,1934920.81767832,127.09612758713055,37.412728723343456
성남시 수정구,성남위례A2-15BL 지역전략산업 및 창업지원주택,470,경기도 성남시 수정구 위례순환로 53,37.471789895686754,127.135125173279,967672.039820057,1941487.96556692,127.13439491906878,37.472047597410764
성남시 수정구,성남단대,16,경기도 성남시 수정구 산성대로405번길 9-9,37.44818319944516,127.15714254262824,969671.687915036,1938830.32553082,127.15711845868125,37.44816059062075
성남시 수정구,단대동 행복주택,60,경기도 성남시 수정구 단대로23번길 36,37.44984275737326,127.1558633056124,969561.88538951,1939029.76296278,127.1558688546121,37.44995462827496
수원시 권선구,수원호매실21(행복),400,경기도 수원시 권선구 호매실로 103,37.25382970858991,126.95953329909776,952120.112140377,1917347.55388348,126.96008146271855,37.253783550204695
수원시 영통구,광교 원천,300,경기도 수원시 영통구 광교중앙로49번길 40,37.280532895127486,127.0501050944424,960084.338447655,1920258.54831913,127.04973123392897,37.28039796375296
수원시 영통구,수원 광교,204,경기도 수원시 영통구 창룡대로 250,37.294859810400936,127.03672175626016,958962.012869828,1921881.02686942,127.0369816056563,37.294973659447855
수원시 영통구,수원 영통,100,경기도 수원시 영통구 동탄지성로470번길 34,37.23388006158263,127.04786546274802,959900.3553279,1915090.95540605,127.04793430923493,37.23381062786736
수원시 팔달구,수원고등(행복),500,경기도 수원시 팔달구 고등로 8,37.272569280760656,126.99830877175026,955517.043448059,1919378.2394019,126.99826422439403,37.27225597541387
