정류장번호,정류장명,위도,경도,정보수집일시,모바일단축번호,도시코드,도시명,관리도시명
GGB210000350,부천북고.도당고,37.5202333,126.7894167,2.02E+13,11322,31050,부천시,경기도
GGB210000351,KT북부천지사.365안전교육장,37.5202167,126.7935667,2.02E+13,11348,31050,부천시,경기도
GGB210000352,북부도서관,37.5200833,126.79495,2.02E+13,11507,31050,부천시,경기도
GGB210000353,KT북부천지사.365안전교육장,37.5200833,126.7928167,2.02E+13,11342,31050,부천시,경기도
GGB210000354,도당동장미원입구,37.5201,126.7904833,2.02E+13,11326,31050,부천시,경기도
GGB210000355,도당주민지원센터,37.5164,126.78485,2.02E+13,11298,31050,부천시,경기도
GGB210000356,온세미,37.5117,126.78485,2.02E+13,11300,31050,부천시,경기도
GGB210000357,공구상가.부천천문과학관,37.5089333,126.7855333,2.02E+13,11304,31050,부천시,경기도
GGB210000358,춘의역7번출구,37.5044167,126.7870333,2.02E+13,11315,31050,부천시,경기도
GGB210000359,춘의테크노파크단지앞,37.49965,126.7864333,2.02E+13,11312,31050,부천시,경기도
GGB210000360,부천동행정복지센터.원미어울마당,37.4973833,126.7859,2.02E+13,11310,31050,부천시,경기도
GGB210000361,부천북초등학교.원미동우체국,37.49445,126.7852167,2.02E+13,11302,31050,부천시,경기도
GGB210000362,대성병원,37.4914667,126.7845667,2.02E+13,11293,31050,부천시,경기도
GGB210000363,부천역북부.농협,37.4868333,126.7834667,2.02E+13,11287,31050,부천시,경기도
GGB210000364,부천대입구,37.4864833,126.7778667,2.02E+13,11249,31050,부천시,경기도
GGB210000365,KT부천지사,37.4868667,126.77525,2.02E+13,11222,31050,부천시,경기도
GGB210000366,시민운동장,37.48735,126.77205,2.02E+13,11204,31050,부천시,경기도
GGB210000367,중동행정복지센터.시민회관,37.48775,126.7693167,2.02E+13,11181,31050,부천시,경기도
GGB210000368,팰리스카운티.부천서초교입구,37.48815,126.7664667,2.02E+13,11159,31050,부천시,경기도
GGB210000369,약대초등학교입구,37.5137,126.7754,2.02E+13,11224,31050,부천시,경기도
GGB210000370,손가면옥,37.5110667,126.77525,2.02E+13,11221,31050,부천시,경기도
GGB210000371,나성빌딩.부천중동래미안,37.5088667,126.77515,2.02E+13,11220,31050,부천시,경기도
GGB210000372,도당사거리,37.5179,126.7833667,2.02E+13,11286,31050,부천시,경기도
GGB210000373,하나은행부천도당금융센터,37.5166,126.7798167,2.02E+13,11256,31050,부천시,경기도
GGB210000374,약대오거리.DB하이텍,37.51535,126.7764833,2.02E+13,11233,31050,부천시,경기도
GGB210000375,부천북고.도당고,37.5199167,126.7879333,2.02E+13,11318,31050,부천시,경기도
GGB210000376,도당사거리.도당중학교,37.51895,126.7856667,2.02E+13,11309,31050,부천시,경기도
GGB210000377,부천상록학교,37.5067,126.8052167,2.02E+13,11378,31050,부천시,경기도
GGB210000378,부천종합운동장역1번출구,37.5059,126.8002333,2.02E+13,11373,31050,부천시,경기도
GGB210000379,근화아파트,37.5208833,126.7957,2.02E+13,11500,31050,부천시,경기도
GGB210000381,하얀마을,37.4992833,126.75635,2.02E+13,11463,31050,부천시,경기도
GGB210000382,까치울역2번출구,37.5062,126.8105167,2.02E+13,11404,31050,부천시,경기도
GGB210000384,농협중앙회,37.50075,126.77575,2.02E+13,11316,31050,부천시,경기도
GGB210000385,농협중앙회,37.5004333,126.7751833,2.02E+13,11317,31050,부천시,경기도
GGB210000386,역곡안동네,37.4935667,126.8084667,2.02E+13,11444,31050,부천시,경기도
GGB210000387,양문교회,37.4892167,126.8099833,2.02E+13,11445,31050,부천시,경기도
GGB210000388,소사역지하차도,37.4827,126.7949,2.02E+13,11360,31050,부천시,경기도
GGB210000389,근화아파트,37.5206833,126.7959167,2.02E+13,13072,31050,부천시,경기도
GGB210000390,부천체육관북문,37.51495,126.76195,2.02E+13,11446,31050,부천시,경기도
GGB210000391,부천테크노파크4단지403동앞,37.5165667,126.7635167,2.02E+13,11447,31050,부천시,경기도
GGB210000392,부천테크노파크4단지401동앞,37.5179,126.7647833,2.02E+13,11449,31050,부천시,경기도
GGB210000393,도당소공원,37.52065,126.7892167,2.02E+13,11451,31050,부천시,경기도
GGB210000394,도당교,37.5218833,126.7948833,2.02E+13,11453,31050,부천시,경기도
GGB210000395,도당교,37.5220667,126.7949833,2.02E+13,11454,31050,부천시,경기도
GGB210000396,부천테크노파크2단지201동앞,37.5163667,126.76325,2.02E+13,11448,31050,부천시,경기도
GGB210000400,심곡동행정복지센터.원미초교,37.4884333,126.78755,2.02E+13,11430,31050,부천시,경기도
GGB210000401,심곡동행정복지센터.원미초교,37.48845,126.7869,2.02E+13,11431,31050,부천시,경기도
GGB210000402,부천시민학습원,37.4899667,126.7855833,2.02E+13,11432,31050,부천시,경기도
GGB210000403,부천시민학습원,37.4896667,126.7853333,2.02E+13,11433,31050,부천시,경기도
GGB210000404,부천대입구,37.4866167,126.7786167,2.02E+13,11473,31050,부천시,경기도
GGB210000406,부천시청역5번출구,37.50465,126.76575,2.02E+13,11153,31050,부천시,경기도
GGB210000410,국민은행,37.48655,126.8132833,2.02E+13,11427,31050,부천시,경기도
GGB210000411,역곡감리교회.역곡2동성당,37.4877333,126.8093167,2.02E+13,11410,31050,부천시,경기도
GGB210000412,역곡감리교회.역곡2동성당,37.4874167,126.8087833,2.02E+13,11411,31050,부천시,경기도
GGB210000414,역곡지구대,37.4864833,126.8083333,2.02E+13,11458,31050,부천시,경기도
GGB210000415,국민은행,37.4864,126.8134333,2.02E+13,11505,31050,부천시,경기도
GGB210000416,역곡역북부,37.4856333,126.8116,2.02E+13,11406,31050,부천시,경기도
GGB210000417,역곡상상시장(마을),37.4865833,126.81135,2.02E+13,11407,31050,부천시,경기도
GGB210000420,역곡자치회관,37.4868,126.80685,2.02E+13,11428,31050,부천시,경기도
GGB210000421,가톨릭대학교.역곡도서관,37.4857833,126.8046,2.02E+13,11416,31050,부천시,경기도
GGB210000422,가톨릭대학교.역곡도서관,37.4855833,126.8048667,2.02E+13,11426,31050,부천시,경기도
GGB210000423,은성아파트,37.4849667,126.8058,2.02E+13,11419,31050,부천시,경기도
GGB210000424,장미슈퍼,37.4842833,126.8061333,2.02E+13,11420,31050,부천시,경기도
GGB210000425,한도아파트,37.4835167,126.8037833,2.02E+13,11421,31050,부천시,경기도
GGB210000426,현대아파트,37.4844,126.8019833,2.02E+13,11423,31050,부천시,경기도
GGB210000427,성일아파트후문앞,37.4911167,126.7424,2.02E+13,11184,31050,부천시,경기도
GGB210000428,진성그린아파트,37.4850167,126.8034333,2.02E+13,11465,31050,부천시,경기도
GGB210000432,동부아파트,37.48825,126.8071333,2.02E+13,11414,31050,부천시,경기도
GGB210000433,한양2차아파트,37.48755,126.8062,2.02E+13,11415,31050,부천시,경기도
GGB210000434,역곡자치회관,37.4867333,126.8062,2.02E+13,11417,31050,부천시,경기도
GGB210000437,풍림아파트.부천다문화지원센터,37.4915833,126.7905667,2.02E+13,11513,31050,부천시,경기도
GGB210000439,상지초등학교,37.4931667,126.7613667,2.02E+13,11490,31050,부천시,경기도
GGB210000453,신중동역3번출구.원미경찰서.롯데백화점,37.50155,126.7763667,2.02E+13,11238,31050,부천시,경기도
GGB210000454,천화사.심원고등학교,37.5039833,126.7811833,2.02E+13,11476,31050,부천시,경기도
GGB210000455,천화사.심원고등학교,37.5040333,126.78135,2.02E+13,11482,31050,부천시,경기도
GGB210000461,다정한마을.경남아너스빌아파트,37.51565,126.7573833,2.02E+13,11456,31050,부천시,경기도
GGB210000463,부천테크노파크2단지,37.5174667,126.7613333,2.02E+13,11475,31050,부천시,경기도
GGB210000465,부천역북부,37.4855667,126.7843333,2.02E+13,11294,31050,부천시,경기도
GGB210000467,상동회차지,37.4915167,126.7474167,2.02E+13,11479,31050,부천시,경기도
GGB210000472,송내역.영화의거리,37.4895,126.7543167,2.02E+13,11481,31050,부천시,경기도
GGB210000474,풍림아파트.부천다문화지원센터,37.49165,126.7908,2.02E+13,11509,31050,부천시,경기도
GGB210000475,대동아파트정문앞,37.4897,126.7425333,2.02E+13,11060,31050,부천시,경기도
GGB210000478,동부아파트입구(마을),37.48735,126.8078833,2.02E+13,11413,31050,부천시,경기도
GGB210000479,수녀원,37.4842333,126.8034167,2.02E+13,11425,31050,부천시,경기도
GGB210000481,부천역북부(기점),37.4854333,126.7846167,2.02E+13,11461,31050,부천시,경기도
GGB210000482,부천시청.중동힐스테이트,37.5026333,126.7690667,2.02E+13,11179,31050,부천시,경기도
GGB210000484,역곡역북부,37.4857333,126.8118333,2.02E+13,11405,31050,부천시,경기도
GGB210000486,팰리스카운티1단지(마을),37.4912167,126.7663667,2.02E+13,11442,31050,부천시,경기도
GGB210000487,대림아파트,37.51165,126.75775,2.02E+13,11491,31050,부천시,경기도
GGB210000488,포도마을사거리.현대백화점.이마트,37.5027833,126.7626333,2.02E+13,11492,31050,부천시,경기도
GGB210000489,장말.문예사거리(마을),37.4921167,126.7665167,2.02E+13,11443,31050,부천시,경기도
GGB210000491,부천체육관.부천아이파크,37.51395,126.7644833,2.02E+13,11494,31050,부천시,경기도
GGB210000494,웅진플레이도시.상동호수공원,37.5013667,126.7454333,2.02E+13,11496,31050,부천시,경기도
GGB210000500,한라마을.금강주공아파트,37.5085667,126.7618167,2.02E+13,11573,31050,부천시,경기도
GGB210000525,KT중동지사,37.5024167,126.7608,2.02E+13,11497,31050,부천시,경기도
GGB210000528,부천중사거리,37.49225,126.7706167,2.02E+13,11561,31050,부천시,경기도
GGB210000530,조마루사거리,37.4981333,126.7853333,2.02E+13,11498,31050,부천시,경기도
GGB210000533,부천터미널소풍,37.5038833,126.7562333,2.02E+13,11543,31050,부천시,경기도
GGB210000534,계남고교,37.4947,126.77065,2.02E+13,11484,31050,부천시,경기도
GGB210000537,송내역.로데오거리,37.48965,126.7536833,2.02E+13,11074,31050,부천시,경기도
