철도운영기관명,선명,역명,지번주소,도로명주소,환승
서울교통공사,8호선,장지,서울특별시 송파구 장지동 201-5 장지역(8호선),서울특별시 송파구 송파대로 82(장지동),n
서울교통공사,8호선,천호(풍납토성),서울특별시 강동구 천호동 455 천호역(8호선),서울특별시 강동구 천호대로 997(천호동),y
서울9호선,9호선,가양,서울특별시 강서구 가양동 14-61,서울특별시 강서구 양천로 485,n
서울9호선,9호선,개화,서울특별시 강서구 개화동 493-2,서울특별시 강서구 개화동로 8길 38,n
서울9호선,9호선,고속터미널,서울특별시 서초구 반포동 19-11,서울특별시 서초구 신반포로 188,y
서울9호선,9호선,공항시장,서울특별시 강서구 공항동 산 20-2,서울특별시 강서구 방화동로 30,n
서울9호선,9호선,구반포,서울특별시 서초구 반포동 817,서울특별시 서초구 신반포로 17,n
서울9호선,9호선,국회의사당,서울특별시 영등포구 여의도동 1-6,서울특별시 영등포구 국회대로 758,n
서울9호선,9호선,김포공항,서울특별시 강서구 방화동 886,서울특별시 강서구 하늘길 77,y
서울9호선,9호선,노들,서울특별시 동작구 본동 344-10,서울특별시 동작구 노량진로 238,n
서울9호선,9호선,노량진,서울특별시 동작구 노량진동 60-11,서울특별시 동작구 노량진로 130,y
서울9호선,9호선,당산,서울특별시 영등포구 당산동6가 227-1,서울특별시 영등포구 양평로 40,y
서울9호선,9호선,동작(현충원),서울특별시 동작구 동작동 326,서울특별시 동작구 현충로 220,y
서울9호선,9호선,둔촌오륜,서울특별시 강동구 둔촌동 227-7,서울특별시 강동구 강동대로 303,n
서울9호선,9호선,등촌,서울특별시 강서구 등촌동 666-94,서울특별시 강서구 공항대로 529,n
서울9호선,9호선,마곡나루,서울특별시 강서구 마곡동 367-6,서울특별시 강서구 마곡중앙5로 2,y
서울9호선,9호선,봉은사,서울특별시 강남구 삼성동 172,서울특별시 강남구 봉은사로 601,n
서울9호선,9호선,사평,서울특별시 서초구 반포동 128-7,서울특별시 서초구 사평대로 285,n
서울9호선,9호선,삼성중앙,서울특별시 강남구 삼성동 111-147,서울특별시 강남구 봉은사로 501,n
서울9호선,9호선,삼전,서울특별시 송파구 잠실동 289,서울특별시 송파구 백제고분로  187,n
서울9호선,9호선,샛강,서울특별시 영등포구 여의도동 5-6,서울특별시 영등포구 의사당대로 166,n
서울9호선,9호선,석촌,서울특별시 송파구 석촌동 209,서울특별시 송파구 송파대로  439,y
서울9호선,9호선,석촌고분,서울특별시 송파구 삼전동180-8,서울특별시 송파구 삼학사로  53 ,n
서울9호선,9호선,선유도,서울특별시 영등포구 양평동5가 66-1,서울특별시 영등포구 양평로 124,n
서울9호선,9호선,선정릉,서울특별시 강남구 삼성동 111-114,서울특별시 강남구 선릉로 580,y
서울9호선,9호선,송파나루,서울특별시 송파구 방이동 2,서울특별시 송파구 백제고분로  446,n
서울9호선,9호선,신논현,서울특별시 강남구 역삼동 800,서울특별시 강남구 봉은사로 102,n
서울9호선,9호선,신목동,서울특별시 양천구 목동 136-2,서울특별시 양천구 목동중앙로 217,n
서울9호선,9호선,신반포,서울특별시 서초구 반포동 128-1,서울특별시 서초구 신반포로 105,n
서울9호선,9호선,신방화,서울특별시 강서구 방화동 217-156,서울특별시 강서구 방화대로 301,n
서울9호선,9호선,양천향교,서울특별시 강서구 가양동 159-3,서울특별시 강서구 양천로 341,n
서울9호선,9호선,언주,서울특별시 강남구 논현동 279-165,서울특별시 강남구 봉은사로 201,n
서울9호선,9호선,여의도,서울특별시 영등포구 여의도동 2-6,서울특별시 영등포구 의사당대로 101,y
서울9호선,9호선,염창,서울특별시 강서구 염창동 284-84,서울특별시 강서구 공항대로 631,n
서울9호선,9호선,올림픽공원(한국체대),서울특별시 송파구 방이동 88-26,서울특별시 송파구 양재대로  1233,y
서울9호선,9호선,종합운동장,서울특별시 송파구 잠실동 123,서울특별시 송파구 올림픽로 23,y
서울9호선,9호선,중앙보훈병원,서울특별시 강동구 둔촌동 8-1,서울특별시 강동구 명일로  117,n
서울9호선,9호선,증미,서울특별시 강서구 등촌동 666-40,서울특별시 강서구 양천로 560,n
서울9호선,9호선,한성백제,서울특별시 송파구 방이동 88-21,서울특별시 송파구 위례성대로  51,n
서울9호선,9호선,흑석(중앙대입구),서울특별시 동작구 흑석동 4,서울특별시 동작구 현충로 90,n
코레일,경강,경기광주,경기도 광주시 역동 176-1,경기도 광주시 광주역로 10(역동),n
코레일,경강,곤지암,경기도 광주시 곤지암읍 곤지암리 353-1,경기도 광주시 곤지암천로 333,n
코레일,경강,부발,경기도 이천시 부발읍 아리미 505-7,경기도 이천시 부발읍 신아로 87,n
코레일,경강,삼동,경기도 광주시 삼동 225번지,경기도 광주시 순암로 451,n
코레일,경강,세종대왕릉,경기도 여주시 능서면 신지리 276-2,경기도 여주시 능서면 양화로 877,n
코레일,경강,신둔도예촌,경기도 이천시 신둔면 남정리 362-2,경기도 이천시 신둔면 남정로 55,n
코레일,경강,여주,경기도 여주시 교동 383-1번지,경기도 여주시 교동로 80(교동 403-1),n
코레일,경강,이매,경기도 성남시 분당구 이매동 127-4,경기도 성남시 분당구 성남대로 738,y
코레일,경강,이천,경기도 이천시 율현동 435,경기도 이천시 이섭대천로 1063,n
코레일,경강,초월,경기도 광주시 초월읍 쌍동리213-15,경기도 광주시 초월읍 경충대로 1066,n
코레일,경강,판교(판교테크노밸리),경기도 성남시 분당구 백현동 19-2,경기도 성남시 분당구 판교역로 160,y
코레일,경의중앙,가좌,서울특별시 서대문구 남가좌동 296-12,서울시 서대문구 수색로 27,y
코레일,경의중앙,강매,경기도 고양시 덕양구 행신동 1115-1,"경기도 고양시 덕양구 소원로202 (행신동,강매역사)",n
코레일,경의중앙,곡산,경기도 고양시 일산동구 백석동 1185-1,경기도 고양시 일산동구 경의로 160,n
코레일,경의중앙,공덕,서울특별시 마포구 도화동 25-13,서울특별시 마포구 마포대로 92  ,y
코레일,경의중앙,구리,경기도 구리시 인창동 244-1,경기도 구리시 건원대로 34번길 32-29,n
코레일,경의중앙,국수,경기도 양평군 양서면 국수리 258-25,경기도 양평군 양서면 국수역길 45,n
코레일,경의중앙,금릉,경기도 파주시 금촌동 605-1,경기도 파주시 금릉역로 85,n
코레일,경의중앙,금촌,경기도 파주시 금촌동 329-355,경기도 파주시 새꽃로 193번지,n
코레일,경의중앙,능곡,경기도 고양시 덕양구 토당동 454-3,경기도 고양시 덕양구 토당로 35,n
코레일,경의중앙,대곡,경기도 고양시 덕양구 대장동 420-1,경기도 고양시 덕양구 대주로 107번길 71-81,y
코레일,경의중앙,덕소,경기도 남양주시 와부읍 덕소리 590-17,경기도 남양주시 와부읍 덕소로 56,n
코레일,경의중앙,도농,경기도 남양주시 도농동 56-1,경기도 남양주시 경춘로 433  ,n
코레일,경의중앙,도라산,경기도 파주시 장단면 노상리 556 도라산역,경기도 파주시 장단면 희망로 307(노상리),n
코레일,경의중앙,도심,경기도 남양주시 와부읍 도곡리 1024-34,경기도 남양주시 와부음 덕소로 237,n
코레일,경의중앙,디지털미디어시티,서울 은평구 수색동 37-2,서울특별시 은평구 수색로 193,y
코레일,경의중앙,망우,서울특별시 중랑구 상봉동 172,서울특별시 중랑구 망우로 55길 11-10,y
코레일,경의중앙,문산,경기도 파주시 문산읍 문산리 17-14,경기도 파주시 문산읍 문산역로 94,y
코레일,경의중앙,백마,고양시 일산동구 백석동 92,고양시 일산동구 경의로 318,n
코레일,경의중앙,상봉,서울특별시 중랑구 상봉동 100-46,서울시 중랑구 망우로 297,y
코레일,경의중앙,서강대,서울특별시 마포구 노고산동 112-5,서울특별시 마포구 서강로 118,n
코레일,경의중앙,서빙고,서울특별시 용산구 서빙고동 241-98,서울특별시 용산구 서빙고로 238,n
코레일,경의중앙,서울역,서울특별시 중구 봉래동2가 122-28,서울시 중구 통일로 1,y
코레일,경의중앙,수색,서울 은평구 수색동 81,서울특별시 은평구 수색로 261-1  ,n
코레일,경의중앙,신원,경기도 양평군 양서면 신원리 480-29,경기도 양평군 양서면 신원역길7,n
코레일,경의중앙,신촌,서울특별시 신촌동 74-12,서울특별시 서대문구 신촌역로 30,n
코레일,경의중앙,아신(아세아연합신학대),경기도 양평군 옥천면 아신리 산 112-2,경기도 양평군 옥천면 아신역1길 23,n
코레일,경의중앙,야당,경기도 파주시 야당동 1088,경기도 파주시 소리천로 10,n
