시군명,공동주택구분,공동주택명정보,읍면동주소,지번주소,사용검사일자,층수,동수,세대수,의무관리대상여부
고양시,,"대화마을8,9,10단지(현대아이파크)",대화동,2580외 2,2003-06-30,20,10,811,Y
고양시,,더퍼스트프라임,관산동,1015,2014-02-28,20,1,272,Y
고양시,,덕이1차(동문),덕이동,1106,2001-10-13,15,4,296,Y
고양시,,덕이2차(동문),덕이동,1037,2002-09-01,15,5,288,Y
고양시,,덕이3차(동문),덕이동,676-1,2003-11-25,15,4,270,Y
고양시,,덕이동 태영아파트,덕이동,1521,2003-05-03,15,5,292,Y
고양시,,동문,행신동,220,1998-10-15,20,1,166,Y
고양시,,동산마을 화성파크드림 PATIO,동산동,343,2016-11-23,4,16,349,Y
고양시,,동산마을21,동산동,344,2012-07-31,25,5,405,Y
고양시,,동산마을22,동산동,365,2012-10-02,30,18,1426,Y
고양시,,동성파크빌,고양동,44899,2002-06-11,4,1,28,N
고양시,,동양라파크,덕이동,382-13,2002-02-28,15,5,200,Y
고양시,,동우.벽산,행신동,653-38외7,2000-01-18,25,1,214,Y
고양시,,동원2차주택,주교동,596-1,1986-07-09,3,1,21,N
고양시,,동원아파트,주교동,596-0,1986-11-05,5,1,50,N
고양시,,동원아파트(6차),주교동,580-11,1988-11-03,5,1,30,N
고양시,,로얄연립주택,토당동,292-34,1981-12-15,3,2,36,N
고양시,,명림빌라,성사동,494-10,1985-02-18,3,3,54,N
고양시,,명림연립,토당동,292-38,1983-12-14,3,3,54,N
고양시,,무원마을1,행신동,773,1995-05-13,15,6,662,Y
고양시,,무원마을10,행신동,692,1994-10-29,15,10,792,Y
고양시,,무원마을2,행신동,771,1994-11-05,15,6,330,Y
고양시,,무원마을3,행신동,769,1994-05-27,15,4,330,Y
고양시,,무원마을5,행신동,767,1995-04-29,15,10,636,Y
고양시,,무원마을6,행신동,702,1994-12-25,15,10,688,Y
고양시,,무원마을7,행신동,699,1994-12-14,15,4,276,Y
고양시,,무원마을8,행신동,700,1994-12-10,15,3,328,Y
고양시,,무원마을9,행신동,697,1994-11-25,15,7,396,Y
고양시,,무지개빌라,주교동,564-6,1986-04-22,3,1,30,N
고양시,,문촌마을10단지(동부),주엽동,17,1996-10-30,25,3,252,Y
고양시,,문촌마을11단지(건영),주엽동,15,1999-10-30,20,4,262,Y
고양시,,문촌마을12단지(유승그린),주엽동,138,1996-11-04,25,3,272,Y
고양시,,문촌마을13단지(대우),주엽동,136,1995-11-29,19,4,254,Y
고양시,,문촌마을14단지(세경),주엽동,133,1999-02-03,15,6,720,Y
고양시,,문촌마을15단지(부영),주엽동,135,1993-10-30,15,7,547,Y
고양시,,문촌마을16단지(뉴삼익),주엽동,117,1994-05-25,20,12,956,Y
고양시,,문촌마을17단지(신안),주엽동,120,1994-12-05,20,11,504,Y
고양시,,문촌마을18단지(대원),주엽동,128,1995-10-27,19,7,378,Y
고양시,,문촌마을19단지(신우),주엽동,126,1994-10-24,18,12,658,Y
고양시,,문촌마을1단지(우성),주엽동,1,1994-12-19,20,14,892,Y
고양시,,문촌마을2단지(라이프),주엽동,5,1994-11-26,15,7,348,Y
고양시,,문촌마을3단지(우성),주엽동,32,1994-05-30,26,10,504,Y
고양시,,문촌마을4단지(삼익),주엽동,29,1994-04-01,25,10,540,Y
고양시,,문촌마을5단지(쌍용한일),주엽동,6,1994-05-09,20,8,432,Y
고양시,,문촌마을6단지(기산쌍용),주엽동,8,1994-05-19,20,8,624,Y
고양시,,문촌마을7단지(주공(분양)),주엽동,14,1995-10-02,20,5,505,Y
고양시,,문촌마을7단지(주공(임대)),주엽동,14,1995-09-05,15,5,645,N
고양시,,문촌마을8단지(동아),주엽동,12,1994-06-30,19,10,738,Y
고양시,,문촌마을9단지(주공(분양)),주엽동,23,1995-08-11,20,4,416,Y
고양시,,문촌마을9단지(주공(임대)),주엽동,23,1995-08-09,15,4,496,N
고양시,,미광APT,주교동,568-6,1985-10-18,5,1,25,N
고양시,,미도APT,주교동,563-0,1985-10-18,5,2,60,N
고양시,,미도아파트2차,주교동,591-5,1985-12-18,4,1,48,N
고양시,,"미도아파트5차(1,2)",성사동,404-8,1986-11-29,5,2,115,N
고양시,,"미도아파트5차(3,5)",성사동,404-7,1986-11-29,5,2,125,N
고양시,,미도아파트6차,성사동,422-2,1987-05-11,5,2,99,N
고양시,,미도아파트7차,성사동,422-3,1988-05-16,5,2,160,N
고양시,,미리내아파트,현천동,44715,2001-02-14,5,1,30,N
고양시,,미미아파트,성사동,404-28,1992-08-28,5,4,90,N
고양시,,미주6차아파트,일산동,587-7,1989-12-23,5,2,85,N
고양시,,미주7차아파트,일산동,1978,1990-11-26,6,3,165,N
고양시,,미주8차아파트,일산동,1979,1991-10-19,13,2,179,Y
고양시,,미주아파트,일산동,1735-0,1989-07-25,5,2,75,N
고양시,,발전연립,중산동,25-115,1984-05-04,2,3,32,N
고양시,,밤가시 2단지,정발산동,1144,1996-02-15,4,5,96,N
고양시,,밤가시 3단지,정발산동,1141,1996-02-13,4,6,66,N
고양시,,밤가시 4단지,정발산동,1111,1996-02-15,4,10,208,Y
고양시,,밤가시 5단지,정발산동,1116,1996-04-16,4,10,120,N
고양시,,밤가시 6단지,정발산동,1260,1997-01-21,4,10,138,N
고양시,,밤가시 7단지,정발산동,1266,1996-03-22,4,12,216,Y
고양시,,밤가시 8단지,정발산동,1269,1996-03-29,4,5,128,N
고양시,,밤가시 9단지,정발산동,13541356,1996-02-03,4,12,144,N
고양시,,밤가시1단지,정발산동,1170,1996-03-13,4,5,120,N
고양시,,백마마을 1단지,마두동,755,1993-07-09,25,15,772,Y
고양시,,백마마을 2단지,마두동,739,1993-08-19,25,13,806,Y
고양시,,백마마을 3단지,마두동,732,1995-04-28,21,10,1116,Y
고양시,,백마마을 4단지,마두동,734,1994-12-19,22,12,668,Y
고양시,,백마마을 5단지,마두동,717,1994-11-15,19,16,1152,Y
고양시,,백마마을 6단지,마두동,719,1994-08-30,19,7,438,Y
고양시,,백송마을 10단지,백석동,1145,1996-04-08,4,8,152,Y
고양시,,백송마을 1단지,백석동,1187,1993-01-29,18,4,222,Y
고양시,,백송마을 2단지,백석동,1186,1993-03-31,20,14,862,Y
고양시,,백송마을 3단지(우성),백석동,1183,1992-09-29,15,6,436,Y
고양시,,백송마을 3단지(한신),백석동,1183,1992-09-29,15,6,426,Y
고양시,,백송마을 5단지,백석동,1190,1992-08-30,15,12,786,Y
고양시,,백송마을 6단지,백석동,1135,1994-06-29,18,6,456,Y
고양시,,백송마을 7단지,백석동,1136,1994-05-25,15,9,617,Y
고양시,,백송마을 8단지,백석동,1139,1994-10-28,18,6,604,Y
고양시,,백송마을 9단지,백석동,1140,1994-09-03,19,6,462,Y
고양시,,벽산,주교동,350-1외19,1999-11-27,25,3,283,Y
고양시,,별빛마을10,화정동,951,1996-05-30,20,13,1080,Y
고양시,,별빛마을7,화정동,953,1995-11-10,20,16,1136,Y
고양시,,별빛마을8,화정동,952,1995-11-13,20,10,1232,Y
고양시,,별빛마을9,화정동,948,1995-11-10,20,24,2008,Y
고양시,,별장아파트,토당동,19-0,1985-11-02,5,2,75,N
고양시,,보라빌라,고양동,1072-0,1986-05-22,3,8,123,N
고양시,,"사리현 동문1,2차",사리현동,186187,2004-11-12,15,8,557,Y
고양시,,사리현 동문3차지,사리현동,189,2005-04-13,15,5,266,Y
고양시,,산들마을1단지,중산동,1656,2004-01-29,19,4,148,N
고양시,,산들마을2단지,중산동,1651,2002-09-19,24,8,692,Y
고양시,,산들마을3단지(대림),일산동,1654,2003-02-27,25,6,579,Y
고양시,,산들마을5단지(동문),일산동,1670,2004-10-20,27,8,926,Y
고양시,,산들마을6단지(건설알포메),일산동,1686,2005-03-21,25,5,466,Y
고양시,,산수그린빌라,고양동,199-6,1986-12-29,3,4,108,N
고양시,,산장APT,주교동,44667,1986-04-22,6,1,72,N
고양시,,삼남아파트,일산동,587-1,1986-09-05,5,2,95,N
고양시,,삼남연립,일산동,"583-19,-42",1986-07-02,3,2,57,N
고양시,,삼남연립,일산동,587-3,1986-07-02,3,1,30,N
고양시,,삼림아파트,주교동,561-1,1987-01-28,5,2,120,N
고양시,,삼림아파트,주교동,569-10,1988-12-27,5,1,25,N
고양시,,삼성,고양동,197외7,1998-11-11,23,3,282,Y
고양시,,삼성아파트,일산동,1876,2000-11-03,24,7,378,Y
고양시,,삼성타운,관산동,118-2,2011-12-07,4,2,24,N
고양시,,삼송2차 원흥역 동원로얄듀크비스타,원흥동,635,2020-04-27,36,3,312,Y
고양시,,삼송3차아이파크,원흥동,619,2019-07-25,29,2,162,Y
고양시,,삼송마을14,원흥동,669,2014-08-01,29,8,930,N
고양시,,삼송마을15,원흥동,670,2012-12-10,29,11,1024,Y
고양시,,삼송마을16,원흥동,677,2013-11-25,29,11,1201,N
고양시,,삼송마을17,삼송동,306,2012-09-01,21,10,598,Y
고양시,,삼송마을18,삼송동,332,2015-06-29,29,19,1890,N
고양시,,삼송마을20단지,삼송동,311,2015-08-27,29,10,1066,Y
고양시,,삼송상록힐스테이트,신원동,653,2013-10-02,21,7,429,Y
고양시,,삼송스타클래스,삼송동,331,2014-12-09,27,9,627,Y
고양시,,삼송역 현대 헤리엇,삼송동,293,2020-10-16,41,4,364,Y
고양시,,삼송우미라피아노(101~105동),오금동,618,2021-10-15,3,5,60,N
고양시,,삼송우미라피아노(201~209동),오금동,619,2021-10-15,3,9,113,N
고양시,,삼송우미라피아노(210~213동),오금동,619-3,2021-10-15,3,4,55,N
고양시,,삼송우미라피아노(301~311동),오금동,628,2021-10-15,4,11,176,N
고양시,,삼송우미라피아노(601~605동),오금동,632,2021-10-15,4,5,75,N
고양시,,삼송원흥역센트럴푸르지오,원흥동,630,2018-07-30,25,4,450,Y
고양시,,삼송자이더빌리지(501~520동),오금동,642외2,2021-02-08,3,20,178,N
고양시,,삼송자이더빌리지(601~604동),오금동,663-2,2021-01-29,3,4,58,N
고양시,,삼송자이더빌리지(611~624동),오금동,668,2021-04-07,3,14,109,N
고양시,,삼송자이더빌리지(631~639동),오금동,670,2021-04-07,3,9,73,N
고양시,,삼윤,토당동,879,1991-11-30,13,2,249,Y
고양시,,삼일맨션,주교동,566-0,1984-11-29,3,3,81,N
고양시,,삼일연립,주교동,560-1,1985-10-18,3,3,48,N
고양시,,삼진연립,행신동,173-1,1982-05-24,3,4,74,N
고양시,,삼천리연립,토당동,15797,1981-05-06,2,3,20,N
고양시,,삼화그린APT(A동),성사동,494-29,1988-12-17,5,1,70,N
고양시,,삼화그린APT(B동),성사동,494-5,1988-12-17,5,1,35,N
고양시,,삼화주택,토당동,392-1,1982-03-03,3,4,63,N
고양시,,삼화주택,토당동,399-0,1983-09-19,3,3,51,N
고양시,,새서울,관산동,178-57,1987-07-24,5,5,400,Y
고양시,,샘터마을1,행신동,973,1997-09-20,22,12,822,Y
고양시,,샘터마을2 (1~4동),행신동,983,1996-06-23,15,4,504,N
고양시,,샘터마을2 (5~29동),행신동,983,1996-10-16,20,25,2416,Y
고양시,,샘터마을3,행신동,1002,1997-02-14,15,8,720,N
고양시,,서안APT,성사동,705-15,1986-08-07,6,1,48,N
고양시,,서정마을(7),행신동,1090,2009-12-03,15,13,394,Y
고양시,,서정마을1,행신동,1074,2008-08-08,15,13,1185,N
고양시,,서정마을11,행신동,1113,2009-12-01,4,4,102,N
고양시,,서정마을2,행신동,1073,2008-04-11,15,5,477,N
고양시,,서정마을3,행신동,1096,2008-07-03,15,14,1064,N
고양시,,서정마을4,행신동,1068,2008-06-09,15,12,545,Y
고양시,,서정마을5,행신동,1088,2008-08-14,15,9,423,Y
고양시,,서정마을6,행신동,1092,2009-10-15,13,8,214,Y
고양시,,서정마을8,행신동,1103,2009-10-15,4,5,84,N
고양시,,서정마을9,행신동,1102,2008-11-07,4,3,60,N
고양시,,서정마을LH12단지,행신동,1064,2019-02-14,15,2,276,N
고양시,,서초,주교동,313-1,1999-06-08,18,1,61,N
고양시,,선경빌라,토당동,36465,1986-02-07,3,2,54,N
고양시,,성산주택,주교동,597-12,1983-11-23,4,2,48,N
고양시,,성산주택3차,주교동,598-1,1985-11-22,4,2,30,N
고양시,,성원1차,풍동,532-35,1998-02-26,24,10,892,Y
고양시,,성원2차,풍동,551-34,1998-02-25,24,2,201,Y
고양시,,성원3차,풍동,551-1,2000-06-29,23,5,333,Y
고양시,,성원5차,풍동,1222,2003-04-30,20,6,295,Y
고양시,,성저마을10단지(건영),대화동,2000,1996-02-15,4,6,120,N
고양시,,성저마을11단지(건영),대화동,2002,1996-02-03,4,7,152,Y
고양시,,성저마을12단지(건영),대화동,2003,1996-01-23,4,5,80,N
고양시,,성저마을13단지(건영),대화동,2026,1996-03-26,4,8,144,N
고양시,,성저마을14단지(건영),대화동,2111,1995-12-30,4,7,76,N
고양시,,성저마을15단지(건영),대화동,2115,1996-04-18,3,9,96,N
고양시,,성저마을1단지(동익),대화동,2212,1995-07-11,15,9,640,Y
고양시,,성저마을2단지(세경),대화동,2209,2000-01-20,15,3,390,Y
고양시,,성저마을3단지(풍림),대화동,2215,1996-03-11,15,6,534,Y
고양시,,성저마을4단지(삼익),대화동,2213,1994-11-30,15,6,460,Y
고양시,,"성저마을5,6단지(건영)",대화동,2095,1996-05-08,4,9,184,Y
고양시,,"성저마을6,5단지(건영)",대화동,2083,1996-04-12,4,8,168,Y
고양시,,성저마을7단지(건영),대화동,2081,1996-04-17,4,12,248,Y
고양시,,성저마을8단지(건영),대화동,2073,1996-03-18,4,4,80,N
고양시,,성저마을9단지(건영),대화동,1997,1996-02-29,4,12,248,Y
고양시,,세인아파트,일산동,587-5,1985-12-13,5,2,70,N
고양시,,세인연립,토당동,385-7,1983-12-13,3,4,90,N
고양시,,세인연립,토당동,36161,1984-09-05,3,4,78,N
고양시,,세중더클래스,고양동,993,2011-07-29,5,1,36,N
고양시,,세현아파트,성사동,493-0,1986-09-17,5,3,100,N
고양시,,소만마을1,행신동,796,1995-12-19,15,7,835,Y
고양시,,소만마을10,행신동,791,1994-10-30,15,5,377,Y
